0;1;5;0,524835646;47,6501;;;;;;;;;GN;;louvain
0;2;5;0,524835646;17,8359;1;0,524835646;;1;16,62315015;;32,592511;;4,855812073;;0.1198568344116211
0;3;5;0,524835646;15,3817;;0,524835646;;;15,13105369;;15,57079177;;5,193212032;;0.13329100608825684
0;4;5;0,524835646;15,4881;;;;;;;;;4,940937042;;0.09015393257141113
0;5;5;0,524835646;15,3527;2;0,534726531;;2;17,04409115;;;;5,248100042;;0.10443902015686035
0;6;5;0,524835646;15,5621;;0,534726531;;;16,46656895;;;;4,826086044;;0.12598228454589844
0;7;5;0,524835646;15,3005;;;;;;;;;4,850939989;;0.11701011657714844
0;8;5;0,524835646;20,1198;3;0,259074191;;3;20,21609324;;0,589233224;;4,921802998;;0.10965204238891602
0;9;5;0,524835646;18,1147;;0,49866649;;;17,49497223;;;;4,908766031;;0.12542510032653809
0;10;5;0,524835646;16,5973;;;;;;;;;5,034227848;;0.10196518898010254
0;11;5;0,524835646;15,2615;4;0,509018724;;4;16,53981616;;;;5,031633854;;0.1081240177154541
0;12;5;0,524835646;17,3282;;0,509018724;;;14,70215774;;;;;;
0;13;5;0,524835646;15,6911;;;;;;;;;;;
0;14;5;0,524835646;20,6055;5;0,450416327;;5;15,86903504;;;;;;
0;15;5;0,524835646;15,9183;;0,450416327;;;15,33047724;;;;;;
0;16;5;0,524835646;19,4068;;;;;;;;;;;
0;17;5;0,524835646;15,6921;6;0,534049632;;6;15,85318396;;;;;;
0;18;5;0,524835646;15,2696;;0,534049632;;;15,05883217;;;;;;
0;19;5;0,524835646;18,0231;;;;;;;;;;;
0;20;5;0,524835646;33,0352;7;0,497044898;;7;166,7588433;;;;;;
0;21;5;0,524835646;20,2603;;0,497044898;;;15,46019673;;;;;;
0;22;5;0,524835646;17,8981;;;;;;;;;;;
0;23;5;0,524835646;20,3403;8;0,589233224;;8;19,25743462;;;;;;
0;24;5;0,524835646;17,9997;;0,589233224;;;15,74268985;;;;;;
0;25;5;0,524835646;21,7517;;;;;;;;;;;
0;26;5;0,524835646;18,5750;9;0,434838335;;9;19,0394166;;;;;;
0;27;5;0,524835646;19,8453;;0,498966942;;;15,40146995;;;;;;
0;28;5;0,524835646;16,2472;;;;;;;;;;;
0;29;5;0,524835646;21,8652;10;0,471916152;;10;18,72404577;;;;;;
0;30;5;0,524835646;19,4789;;0,471916152;;;14,91949916;;;;;;
0;31;5;0,524835646;21,4627;;;;;;;;;;;
0;32;5;0,524835646;19,8660;;;;;;;;;;;
0;33;5;0,524835646;15,4696;;;;;;;;;;;
0;34;5;0,524835646;15,1603;;;;;;;;;;;
0;35;5;0,524835646;15,3579;;;;;;;;;;;
0;36;5;0,524835646;15,2657;;;;;;;;;;;
0;37;5;0,524835646;15,8468;;;;;;;;;;;
0;38;5;0,524835646;15,2123;;;;;;;;;;;
0;39;5;0,524835646;15,3481;;;;;;;;;;;
0;40;5;0,524835646;15,4141;;;;;;;;;;;
0;41;5;0,524835646;15,3318;;;;;;;;;;;
0;42;5;0,524835646;15,2537;;;;;;;;;;;
0;43;5;0,524835646;15,1311;;;;;;;;;;;
0;44;5;0,524835646;15,2242;;;;;;;;;;;
0;45;5;0,524835646;15,1964;;;;;;;;;;;
0;46;5;0,524835646;15,2889;;;;;;;;;;;
0;47;5;0,524835646;15,2312;;;;;;;;;;;
0;48;5;0,524835646;15,3170;;;;;;;;;;;
0;49;5;0,524835646;15,1744;;;;;;;;;;;
0;50;5;0,524835646;15,5998;;;;;;;;;;;
0;51;5;0,524835646;15,2651;;;;;;;;;;;
0;52;5;0,524835646;15,3883;;;;;;;;;;;
0;53;5;0,524835646;15,2391;;;;;;;;;;;
0;54;5;0,524835646;15,2284;;;;;;;;;;;
0;55;5;0,524835646;15,2532;;;;;;;;;;;
0;56;5;0,524835646;15,2138;;;;;;;;;;;
0;57;5;0,524835646;15,3305;;;;;;;;;;;
0;58;5;0,524835646;15,2535;;;;;;;;;;;
0;59;5;0,524835646;15,3418;;;;;;;;;;;
0;60;5;0,524835646;15,5381;;;;;;;;;;;
0;61;5;0,524835646;15,3471;;;;;;;;;;;
0;62;5;0,524835646;15,2621;;;;;;;;;;;
0;63;5;0,524835646;15,2253;;;;;;;;;;;
0;64;5;0,524835646;15,1982;;;;;;;;;;;
0;65;5;0,524835646;15,2565;;;;;;;;;;;
