0;1;10;0,724247685;29,5673;;;;;;;;;GN;;louvain
0;2;10;0,724247685;20,6696;1;0,724247685;;1;20,14454805;;26,43143624;;9,286635876;;0,095218182
0;3;10;0,724247685;27,2177;;0,724247685;;;18,52433991;;18,37837274;;8,968057871;;0,096569061
0;4;10;0,724247685;24,1695;;;;;;;;;8,912295818;;0,148729801
0;5;10;0,724247685;28,7192;2;0,162834057;;2;18,08231682;;;;9,068838835;;0,113101006
0;6;10;0,724247685;20,0384;;0,204223633;;;17,04025197;;;;9,053297043;;0,095133781
0;7;10;0,724247685;19,6293;;;;;;;;;9,496299028;;0,086739779
0;8;10;0,724247685;19,7903;3;0,419581025;;3;24,30937502;;0,724247685;;10,06924391;;0,091954947
0;9;10;0,724247685;19,9819;;0,419581025;;;17,1628561;;;;8,982967854;;0,117577076
0;10;10;0,724247685;18,5859;;;;;;;;;9,141629219;;0,095561981
0;11;10;0,724247685;18,6352;4;0,304106328;;4;20,91683419;;;;8,963794947;;0,092251778
0;12;10;0,724247685;18,7441;;0,304106328;;;17,43548393;;;;;;
0;13;10;0,724247685;19,0461;;;;;;;;;;;
0;14;10;0,724247685;20,1255;5;0,610639575;;5;23,94561013;;;;;;
0;15;10;0,724247685;18,6876;;0,610639575;;;18,3549788;;;;;;
0;16;10;0,724247685;21,1787;;;;;;;;;;;
0;17;10;0,724247685;28,2411;6;0,649397448;;6;23,05565692;;;;;;
0;18;10;0,724247685;25,1580;;0,649397448;;;20,12089992;;;;;;
0;19;10;0,724247685;23,8377;;;;;;;;;;;
0;20;10;0,724247685;25,4761;7;0,58949471;;7;23,94100461;;;;;;
0;21;10;0,724247685;22,8566;;0,58949471;;;19,9345119;;;;;;
0;22;10;0,724247685;20,9023;;;;;;;;;;;
0;23;10;0,724247685;25,2220;8;0,362302996;;8;60,52917793;;;;;;
0;24;10;0,724247685;24,1762;;0,422249438;;;17,87267709;;;;;;
0;25;10;0,724247685;21,4056;;;;;;;;;;;
0;26;10;0,724247685;20,0340;9;0,285338967;;9;29,01847114;;;;;;
0;27;10;0,724247685;19,3237;;0,504756352;;;20,07504988;;;;;;
0;28;10;0,724247685;20,8349;;;;;;;;;;;
