0;1;5;0,359963269;4,8638;;;;;;;;;GN;;louvain
0;2;2;0,027580811;1,6676;1;0,509833912;;1;1,540505152;;1,924035761;;0,166034222;;0,037145853
0;3;1;0;1,4631;;0,526877892;;;1,397885084;;1,482782793;;0,182752848;;0,031289101
0;4;2;0,05964497;1,4347;;;;;;;;;0,179558039;;0,020777941
0;5;3;0,526877892;1,6072;2;0,442723547;;2;1,462997158;;;;0,206315994;;0,024158239
0;6;3;0,526877892;1,5027;;0,660027162;;;1,358424902;;;;0,250187159;;0,035053968
0;7;3;0,526877892;1,4530;;;;;;;;;0,176329851;;0,024065018
0;8;3;0,526877892;1,4521;3;0,606481481;;3;1,462933884;;0,683364839;;0,170458317;;0,023842096
0;9;3;0,526877892;1,4486;;0,606481481;;;1,389757872;;;;0,176462889;;0,054826021
0;10;3;0,526877892;1,4602;;;;;;;;;0,17753005;;0,038449049
0;11;3;0,526877892;1,4529;4;0,508427364;;4;1,889069471;;;;0,164489031;;0,046417952
0;12;3;0,526877892;1,4246;;0,542355372;;;1,418104887;;;;;;
0;13;3;0,526877892;1,4697;;;;;;;;;;;
0;14;3;0,526877892;1,4391;5;0,453290583;;5;2,175101135;;;;;;
0;15;3;0,526877892;1,4727;;0,513417151;;;1,512080908;;;;;;
0;16;3;0,526877892;1,4504;;;;;;;;;;;
0;17;3;0,526877892;1,5319;6;0,643905857;;6;2,108676455;;;;;;
0;18;3;0,526877892;1,3979;;0,683364839;;;1,556554079;;;;;;
0;19;3;0,526877892;1,4851;;;;;;;;;;;
0;20;3;0,526877892;1,5727;7;0,680541103;;7;1,908189955;;;;;;
0;21;3;0,526877892;1,5404;;0,680541103;;;1,472813129;;;;;;
0;22;3;0,526877892;1,4958;;;;;;;;;;;
0;23;3;0,526877892;1,5179;8;0,517777778;;8;2,306729388;;;;;;
0;24;3;0,526877892;1,7081;;0,517777778;;;1,537739038;;;;;;
0;25;3;0,526877892;1,6029;;;;;;;;;;;
0;26;3;0,526877892;1,5281;9;0,430147883;;9;2,187778161;;;;;;
0;27;3;0,526877892;1,5195;;0,4453125;;;1,633054018;;;;;;
0;28;3;0,526877892;1,4527;;;;;;;;;;;
0;29;3;0,526877892;1,4444;10;0,481822301;;10;2,198376854;;;;;;
