0;1;6;0,690615368;28,1413;;;;;;;;;GN;;louvain
0;2;6;0,690615368;9,6001;1;0,690615368;;1;7,236288817;;5,614943001;;0,664368868;;0,059012175
0;3;6;0,690615368;8,3432;;0,690615368;;;4,849059105;;5,0233603;;0,710019112;;0,044158936
0;4;6;0,690615368;8,4270;;;;;;;;;0,69150424;;0,061604023
0;5;6;0,690615368;8,0547;2;0,705415592;;2;6,400372863;;;;0,680791855;;0,053180218
0;6;6;0,690615368;8,0631;;0,705415592;;;5,344240189;;;;0,744725943;;0,053295851
0;7;6;0,690615368;8,2732;;;;;;;;;0,693450928;;0,046866179
0;8;6;0,690615368;9,3812;3;0,560058594;;3;5,344072685;;0,744689713;;0,705408096;;0,042639017
0;9;6;0,690615368;8,3859;;0,560058594;;;4,91869688;;;;0,680794239;;0,083424091
0;10;6;0,690615368;7,8078;;;;;;;;;0,708256006;;0,07490921
0;11;6;0,690615368;7,3096;4;0,42963737;;4;5,326868935;;;;0,716189861;;0,05350709
0;12;6;0,690615368;7,5734;;0,670927684;;;5,015920162;;;;;;
0;13;6;0,690615368;9,2832;;;;;;;;;;;
0;14;6;0,690615368;9,3726;5;0,518314458;;5;5,054821079;;;;;;
0;15;6;0,690615368;8,0693;;0,518314458;;;4,850126743;;;;;;
0;16;6;0,690615368;8,8962;;;;;;;;;;;
0;17;6;0,690615368;8,6293;6;0,423218148;;6;5,351689303;;;;;;
0;18;6;0,690615368;6,6780;;0,423218148;;;5,096863985;;;;;;
0;19;6;0,690615368;6,3025;;;;;;;;;;;
0;20;6;0,690615368;6,2275;7;0,744689713;;7;5,354650729;;;;;;
0;21;6;0,690615368;6,1398;;0,744689713;;;5,161815882;;;;;;
0;22;6;0,690615368;6,5067;;;;;;;;;;;
0;23;6;0,690615368;6,2998;8;0,503576449;;8;5,457145357;;;;;;
0;24;6;0,690615368;6,3948;;0,572798694;;;5,258173943;;;;;;
0;25;6;0,690615368;6,2644;;;;;;;;;;;
0;26;6;0,690615368;6,3042;9;0,608506314;;9;5,272937376;;;;;;
0;27;6;0,690615368;6,6747;;0,608506314;;;5,110543013;;;;;;
0;28;6;0,690615368;6,6104;;;;;;;;;;;
0;29;6;0,690615368;6,3027;10;0,564990966;;10;5,350582864;;;;;;
0;30;6;0,690615368;6,6590;;0,564990966;;;4,628163099;;;;;;
0;31;6;0,690615368;6,7368;;;;;;;;;;;
0;32;6;0,690615368;6,5293;;;;;;;;;;;
0;33;6;0,690615368;6,7532;;;;;;;;;;;
0;34;6;0,690615368;5,8277;;;;;;;;;;;
0;35;6;0,690615368;6,7230;;;;;;;;;;;
0;36;6;0,690615368;6,4451;;;;;;;;;;;
0;37;6;0,690615368;5,8230;;;;;;;;;;;
0;38;6;0,690615368;7,1736;;;;;;;;;;;
0;39;6;0,690615368;6,2536;;;;;;;;;;;
